OTUs	"SRR17152824"	"SRR17152825"	"SRR17152826"	"SRR17152827"	"SRR17152828"	"SRR17152829"	"SRR17152830"	"SRR17152831"	"SRR17152832"	"SRR17152833"	"SRR17152834"	"SRR17152835"	"SRR17152836"	"SRR17152837"	"SRR17152838"	"SRR17152839"	"SRR17152840"	"SRR17152841"	"SRR17152842"	"SRR17152843"	"SRR17152844"	"SRR17152845"	"SRR17152846"	"SRR17152847"	"SRR17152848"	"SRR17152849"	"SRR17152850"	"SRR17152851"	"SRR17152852"	"SRR17152853"	"SRR17152854"	"SRR17152855"	"SRR17152856"	"SRR17152857"	"SRR17152858"	"SRR17152859"	"SRR17152860"	"SRR17152861"	"SRR17152862"	"SRR6927699"	"SRR6927700"	"SRR6927701"	"SRR6927702"	"SRR6927703"	"SRR6927704"	"SRR6927705"	"SRR6927706"	"SRR6927707"	"SRR6927708"	"SRR6927709"	"SRR6927710"	"SRR6927711"	"SRR6927712"	"SRR6927713"	"SRR6927714"	"SRR6927715"	"SRR6927716"	"SRR6927717"	"SRR6927718"	"SRR6927719"	"SRR6927720"	"SRR6927721"	"SRR6927722"	"SRR6927723"	"SRR6927724"	"SRR6927725"	"SRR6927726"	"SRR6927727"	"SRR6927728"
"OTU_31"	307	222	134	121	437	39	559	23	105	38	26	0	0	63	39	95	0	464	472	327	2075	0	79	1264	109	743	735	195	0	1590	63	97	39	74	106	477	49	1665	21	245	0	344	93	325	53	185	169	40	409	2946	291	326	476	138	32	417	35	304	274	366	199	130	173	528	300	391	0	205	271
"OTU_32"	229	203	99	120	480	24	767	44	183	0	33	0	0	92	29	99	0	523	610	308	2040	0	112	1315	123	1001	622	143	18	1307	57	73	38	104	129	454	21	1868	23	202	0	306	80	321	52	172	153	45	431	2687	214	279	419	105	49	425	44	290	283	340	196	138	170	473	254	363	0	185	227
"OTU_33"	256	226	111	117	412	11	540	30	71	22	31	0	0	28	31	118	0	378	424	261	2271	0	46	729	60	419	778	141	0	1500	93	96	27	78	124	444	42	1501	30	227	0	348	94	310	55	177	200	72	509	3141	296	353	420	163	55	470	44	319	291	337	250	123	204	551	314	375	0	224	266
"OTU_34"	235	163	96	136	500	0	706	32	156	0	42	0	17	106	27	103	24	344	399	215	1613	0	124	1342	139	989	524	93	0	811	49	75	26	63	66	329	0	1378	15	220	0	377	108	329	75	168	192	63	511	3138	328	384	445	159	45	492	44	344	333	408	236	168	247	560	356	430	0	253	265
"OTU_35"	208	230	82	125	487	19	901	49	143	0	23	0	0	66	31	116	0	349	509	344	2077	0	68	675	69	491	759	147	49	1416	82	106	26	87	111	400	24	1853	23	227	0	325	65	349	50	139	210	48	453	2899	274	353	414	159	35	473	37	305	260	344	204	106	179	454	270	315	0	195	255
"OTU_36"	158	95	102	118	498	0	843	37	140	0	15	0	11	53	19	73	17	243	407	206	1815	0	60	659	66	461	636	92	0	1007	59	79	33	53	115	272	0	1292	25	242	0	386	104	398	78	178	201	71	531	3331	297	398	478	159	43	575	58	366	295	405	265	123	234	594	368	406	0	239	301
"OTU_37"	100	78	0	150	0	319	44	2541	1327	302	133	104	0	0	0	240	61	456	351	3113	200	68	141	0	0	311	449	131	361	300	3052	507	645	231	97	306	0	2020	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_38"	78	69	0	147	0	272	76	2728	1260	254	98	83	0	0	0	216	68	441	393	2928	153	13	55	0	0	197	507	127	380	211	3612	492	470	191	112	259	0	1829	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_39"	88	76	0	135	3	263	64	2743	1360	311	155	111	0	0	0	205	63	379	361	2718	212	0	162	0	73	397	346	150	400	275	3182	443	652	220	97	278	0	1479	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OTU_40"	82	51	0	112	21	220	74	3018	1219	315	97	106	0	0	0	206	58	415	346	2725	158	0	49	0	17	187	384	110	447	249	3610	504	510	183	80	235	0	1492	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
